sample_id,sampling_slot,museum,entity_type,status,expression_type,signature_artifact_frequency,artifact_id,artifact_title,field_path,mention_text,span_start,span_end,resolution_method,target_ids,source_url
review-001,high_frequency_cell,brooklyn,ruler,ambiguous,single_identity,5,brooklyn-3317,Head from a Shabty of King Akhenaten,title,Akhenaten,27,36,committed_normalized,cluster-beckerath-18.10|leprohon-leprohon-18.10b,https://www.brooklynmuseum.org/objects/3317
review-002,deterministic_long_tail,brooklyn,ruler,ambiguous,single_identity,1,brooklyn-3866,Relief of King Sobekhotep III,title,Sobekhotep III,15,29,raw_exact,leprohon-leprohon-13.26|pharaoh_se-Sobekhotep-III,https://www.brooklynmuseum.org/objects/3866
review-003,high_frequency_cell,brooklyn,ruler,resolved,single_identity,1,brooklyn-3160,Shabty of Queen Maatkare,title,Maatkare,16,24,committed_normalized,cluster-beckerath-18.05,https://www.brooklynmuseum.org/objects/3160
review-004,deterministic_long_tail,brooklyn,ruler,resolved,single_identity,1,brooklyn-3635,King Osorkon I,title,Osorkon I,5,14,raw_exact,cluster-beckerath-22.02,https://www.brooklynmuseum.org/objects/3635
review-005,high_frequency_cell,brooklyn,ruler,uncertain_identity,uncertain_identity,1,brooklyn-3799,Ptolemaic Queen (Cleopatra VII?),title,(Cleopatra VII,16,30,,,https://www.brooklynmuseum.org/objects/3799
review-006,high_frequency_cell,brooklyn,ruler,unmatched,single_identity,4,brooklyn-19079,Shabty of Queen Henuttawy,title,Henuttawy,16,25,,,https://www.brooklynmuseum.org/objects/19079
review-007,deterministic_long_tail,brooklyn,ruler,unmatched,single_identity,1,brooklyn-3854,Amun-Re or King Amunhotep III,title,Amunhotep III,16,29,,,https://www.brooklynmuseum.org/objects/3854
review-008,high_frequency_cell,brooklyn,site,ambiguous,single_identity,32,brooklyn-15551,Toilet Box,geographicalLocations[0].name,Fayum,15,20,raw_exact,idai:2042846|idai:2751193,https://www.brooklynmuseum.org/objects/15551
review-009,high_frequency_cell,brooklyn,site,resolved,single_identity,320,brooklyn-116772,Seated Statue of Nakhtsaes,geographicalLocations[0].name,Saqqara,0,7,raw_exact,idai:2042907,https://www.brooklynmuseum.org/objects/116772
review-010,deterministic_long_tail,brooklyn,site,resolved,single_identity,1,brooklyn-3125,Stela of Lady Horemheb,geographicalLocations[0].name,Haraga,0,6,raw_exact,idai:2751316,https://www.brooklynmuseum.org/objects/3125
